Old Alias,Alias,Long Name,Definition,Data Type,Example Value,Remark
logid,logid,logid,Unique identifier for the stored event/log record,uuid,30C11F20-2170-1033-95DF-000C293DBE11,Uniq
receiveyear,receiveyear,ReceiveYear,Calendar year when the platform received the event (observer TZ normalized),int32,2016,
receivemonth,receivemonth,ReceiveMonth,Month of year (1–12) when received,int32,1,
,receivedayinyear,ReceiveDayinYear,Day of year (1–366) when received,int32,19,New field
receivedayofmonth,receivedayinmonth,ReceiveDayinMonth,Day of month (1–31) when received,int32,19,
receivedayofweek,receivedayinweek,ReceiveDayinWeek,Day of week (1–7; Mon=1),int32,2,New field
receivehour,receivehour,ReceiveHour,Hour of day (0–23) when received,int32,14,
receiveminute,receiveminute,ReceiveMinute,Minute (0–59) when received,int32,59,
receivesecond,receivesecond,ReceiveSecond,Second (0–59) when received,int32,58,
receivemillisecond,receivemillisecond,ReceiveMillisecond,Milliseconds (0–999) when received,int32,123,
receivezone,receivezone,ReceiveTZOffset,Receive timezone offset in milliseconds from UTC,int32,2800000,
receivedate,receivedate,ReceiveDate,Full receive timestamp with offset (ISO-8601),datetime,2016-01-19T14:59:58.223-0700,
receivems,receivems,ReceiveEpochMs,Receive timestamp in epoch milliseconds (UTC),epoch_ms,1452063598000,
srclogserip,couip,CourierIP,IP address of courier/forwarder,ip,172.30.200.10,duplicate with repip
srclogserhostname,couname,CourierHostName,Hostname of courier/forwarder,hostname,mycourierhk1,duplicate with rn
collectorip,colip,CollectorHostIP,Collector IP address,ip,172.30.200.223,
collectorhostname,colname,CollectorHostName,Collector hostname,hostname,mycollectorhk1,
collectorport,colport,CollectorPort,Collector listen port,port,,
parselogstatus,parselogstatus,ParseLogStatus,Result of parser stage,string,,possible values: success | failed | no_parser
parselogerror,parselogerror,ParseLogError,Parser error details if parsing failed,string,,parser exception stacktrace when parselogstatus = failed
parserid,parserid,ParserID,Numeric ID/version of parser used,int64,,
tenantname,tenantname,TenantName,Tenant/account name,string,,
rawmsg,rawmsg,RawMessage,Original unmodified message payload,string,"<189>Jan  6 14:59:58 SyslogAlertForwarder: alert_id:…",
sha256hash,sha256hash,sha256Hash,SHA-256 hash of rawmsg (hex),string,9d5b68096476960f778e06059f33f19c85f3c2cf90ab7354a022310b80ddaf52,hash the raw log
mappedseverity,mappedseverity,MappedSeverity,Platform-normalized severity,int32,1,1
parsertype,parsertype,ParserType,Parser family/type,string,syslog,
parserver,parserver,ParserVersion,Parser version,string,1.0,
parsedtime,parsedtime,ParsedTime,Time the record finished parse/ingest,datetime,,
logcode,logcode,SyslogPriority,Syslog PRI/facility+severity code,int32,34,
logdate,logdate,SyslogDate,Original log-provided date header (as found),string,"Sep  3 09:03:19",
com,com,Comment,Free-form comment/annotation,string,,
eudom,eftudomain,EffectiveUserDomain,Effective user domain,string,,
euid,eftuid,EffectiveUserID,Effective user ID,string,,
euname,eftuname,EffectiveUserName,Effective user name,string,,
evt,evt,EventName,Event name/title (vendor or mapped),string,1,
ei,einfo,ExtendedInformation,Extended info blob (vendor-specific),string,1,
idsattackname,idsattackname,IDSAttackName,IDS/IPS attack signature name,string,1,
idsname,idsname,IDSName,IDS/IPS device/profile name,string,1,
impact,imp,Impact,Impact rating/label,string,,
iemail,srcemail,SourceEmail,Source email address,string,1,
isvcc,srcsvccpn,SourceServiceComponent,Source service component,string,1,
sp,srcsvcname,SourceServiceName,Source service/application name,string,1,
iudep,srcudept,SourceUserDepartment,Source user department,string,,
iud,srcudomain,SourceUserDomain,Source user domain,string,,
iufname,srcufullname,SourceUserFullName,Source user full name,string,,
iuid,srcuid,SourceUserID,Source user ID,string,,
iuident,srcuident,SourceUserIdentityID,Source user identity ID,string,,
sun,srcuname,SourceUserName,Source user name,string,1,
iup,srcup,SourceUserPrivilegeLevel,Source user privilege level,string,,
iwfid,srcwfid,SourceUserWorkforceID,Source user workforce/HR ID,string,,
inputbytes,inputbytes,InputBytes,Inbound bytes for the event/flow,int64,,
malname,malname,MalwareName,Malware name (AV/IDS),string,1,
msg,msg,Message,Parsed message/body (cleaned),string,"*",,
obsclass,obsclass,ObserverHostClass,Observer/collector host class,string,,
obscountry,obscountry,ObserverHostCountry,Observer host country (ISO or label),string,,
obscrit,obscrit,ObserverHostCriticality,Observer host criticality,string,,
obsdep,obsdept,ObserverHostDepartment,Observer host department,string,,
obsdom,obsdomain,ObserverHostDomain,Observer host domain,string,,
obsfunc,obsfunc,ObserverHostFunction,Observer host function/role,string,,
obsassetid,obsassetid,ObserverHostID,Observer asset identifier,string,,
obslat,obslat,ObserverHostLatitude,Observer latitude,float64,,
obslong,obslong,ObserverHostLongitude,Observer longitude,float64,,"(obtlong in solr)"
obsname,obsname,ObserverHostName,Observer host name,hostname,1,
obsip,obsip,ObserverIP,Observer IP address,ip,1,
obsmac,obsmac,ObserverMAC,Observer MAC address,string,1,
obscomponent,obssvccpn,ObserverServiceComponent,Observer service component,string,,
obssvcname,obssvcname,ObserverServiceName,Observer service/application name,string,1,
outputbytes,outputbytes,OutputBytes,Outbound bytes for the event/flow,int64,,
owner,ownid,OwnerID,Record owner ID,string,,"(owner in solr)"
oname,ownname,OwnerName,Record owner display/name,string,,
polid,polid,PolicyID,Policy identifier that matched/applied,string,,
priority,priority,Priority,Vendor/native priority label/value,string,,
pn,pname,ProductName,Product/device name,string,1,
prot,prot,Protocol,L3/L4 protocol (e.g., tcp/udp/icmp),string,1,
rc,rc,RepeatCount,Repeat count for aggregated duplicates,int32,,
repclass,couclass,CourierHostClass,Courier host class,string,,
repcrit,coucrit,CourierHostCriticality,Courier host criticality,string,,
repdep,coudept,CourierHostDepartment,Courier host department,string,,
repdom,coudomain,CourierHostDomain,Courier host domain,string,,
repfunc,coufunc,CourierHostFunction,Courier host function,string,,
repassetid,couid,CourierHostID,Courier host ID,string,,
repmac,coumac,CourierMAC,Courier MAC address,string,1,
revision,revision,Revision,Event revision/version,string,,
sessid,sessid,SessionID,Session identifier,string,,
sesstype,sesstype,SessionType,Session type/kind,string,,
sev,sev,Severity,Native severity label/value,string,1,
,srcaddr,SourceHostAddress,Source FQDN or URL host component,string,david.something.maximusholding.com,"Example web: https://david.something.maximusholding.com"
srchostclass,srcclass,SourceHostClass,Source host class,string,,
srchostcountry,srccountry,SourceHostCountry,Source host country,string,1,
srchostcriticality,srccrit,SourceHostCriticality,Source host criticality,string,,
srchostdpt,srcdept,SourceHostDepartment,Source host department,string,,
srchostdomain,srcdomain,SourceHostDomain,Source host domain,string,something.maximusholding.com,"Example web host"
srchostfunction,srcfunc,SourceHostFunction,Source host function/role,string,,
srchostid,srcid,SourceHostID,Source asset/host ID,string,,
srchostlat,srclat,SourceHostLatitude,Source latitude,float64,,
srchostlong,srclong,SourceHostLongitude,Source longitude,float64,,
srchostname,srcname,SourceHostName,Source short host name,string,david,"Example host"
srcip,srcip,SourceIP,Source IP address,ip,1,
srcmac,srcmac,SourceMAC,Source MAC address,string,1,
srcnetzone,srcnetzone,SourceNetworkZone,Source network zone label,string,1,
srcport,srcport,SourcePort,Source port number,port,1,
srctranip,srctip,SourceTranslatedIP,Source translated/NAT IP,ip,,
srctranmac,srctmac,SourceTranslatedMAC,Source translated MAC,string,,
srctranport,srctport,SourceTranslatedPort,Source translated port,port,,
state,state,State,Event outcome/state (e.g., allowed/blocked),string,,
tags,tags,Tags,User/system tags,array<string>,,
trgattname,trgattname,TargetAttributeName,Target attribute name (changed field),string,,
trgattorival,trgattorival,TargetAttributeOriginalValue,Target attribute original value,string,,
trgattval,trgattval,TargetAttributeValue,Target attribute new value,string,,
trgdtcat,trgdtcat,TargetDataCategory,Target data category,label,string,,
trgdtcontainer,trgdtcontainer,TargetDataContainer,Target resource container/path,string,/david/isagood/,"Example URL path"
trgdtname,trgdtname,TargetDataName,Target data object/file name,string,man.html,"Example URL file"
trgdtnamespace,trgdtnamespace,TargetDataNamespace,Target data namespace/scheme,string,https,
trgdtsensitivity,trgdtsensitivity,TargetDataSensitivity,Target data sensitivity label,string,,
trgemail,trgemail,TargetEmail,Target email address,string,,
,trgaddr,TargetHostAddress,Target FQDN or URL host component,string,david.something.maximusholding.com,"Example web host"
trghostclass,trgclass,TargetHostClass,Target host class,string,,
trghostcountry,trgcountry,TargetHostCountry,Target host country,string,,
trghostcriticality,trgcrit,TargetHostCriticality,Target host criticality,string,,
trghostdpt,trgdept,TargetHostDepartment,Target host department,string,,
trghostdomain,trgdomain,TargetHostDomain,Target host domain,string,something.maximusholding.com,"Example web host"
trghostfunction,trgfunc,TargetHostFunction,Target host function/role,string,,
trghostid,trgid,TargetHostID,Target asset/host ID,string,,
trghostlat,trglat,TargetHostLatitude,Target latitude,float64,,
trghostlong,trglong,TargetHostLongitude,Target longitude,float64,,
trghostname,trgname,TargetHostName,Target short host name,string,david,
trgip,trgip,TargetIP,Target IP address,ip,1,
trgmac,trgmac,TargetMAC,Target MAC address,string,1,
trgnetzone,trgnetzone,TargetNetworkZone,Target network zone label,string,1,
