description,query
"Identifies accepted events that are not related to session starts/ends, not audit events, not traffic-forward messages, and not policy denial events.","NOT evt:""Session Ended"" AND NOT evt:""Audit event"" AND NOT evt:""Traffic forward message"" AND NOT evt:""policy deny"" AND NOT evt:""Session Started"" AND evt:Accept"
"Find events where the process name begins with Radware, i.e., Radware-related software processes.",pname:Radware*
Looks for network activity coming from source IP 10.168.168.103 and targeting any destination domain.,srcip:10.168.168.103 AND trgdomain:*
Filters the logs to include only events from tenant D0034 with a severity level of 4.,tenantname:D0034 && sev:4
"Retrieve logs for tenant M0001 where the log parse failed, while excluding any events that have all seven tax event/out fields populated.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND parselogstatus:""failed"""
"It looks for Palo Alto Next-Generation Firewall logs in tenant M0001, but excludes MAGI-parsed entries, session-related events, and any traffic directed to YouPorn, Backblaze B2, or Backblaze domains.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com"
"Finds moderate-severity endpoint protection events for tenant D0034 where Symantec Endpoint Security Protection blocked web threats (Webpulse bad-reputation domain requests or other malicious-domain requests), excluding the specific Web Services Discovery block, and only when a source IP is present.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND (sev:[2 TO 3] ) AND NOT evt:""Block Web Services Discovery from external computers"" AND srcip:* AND ( evt:""Web Attack\\: Webpulse Bad Reputation Domain Request attack blocked"" OR evt:""Malicious Site\\: Malicious Domain Request 22 attack blocked"" OR evt:""Malicious Site\\: Malicious Domain Request 16 attack blocked"" )"
It identifies logs where the Apache Http Server process is involved and the target service named shkdirect-web is being accessed or interacted with.,"pname:""Apache Http Server"" AND trgsvcname:""shkdirect\\-web"""
It filters logs to show any events originating from the source IP 59.188.174.37.,srcip:59.188.174.37
"It looks for logs for tenant D0034 from source IP 47.117.122.108, excluding events marked as nfw and excluding records where the process name is Sangfor_CyberCommand.",tenantname:D0034 AND NOT taxevtst:nfw AND srcip:47.117.122.108 AND NOT pname:Sangfor_CyberCommand 
